x1,y1,x2,y2,index1,index2
144,633,162,54,70,132
162,54,162,645,132,68
162,645,144,66,68,130
144,66,171,651,130,67
171,651,153,60,67,131
153,60,153,639,131,69
153,639,144,66,69,130
144,66,162,645,130,68
162,645,162,54,68,132
162,54,144,633,132,70
144,633,153,60,70,131
153,60,162,645,131,68
162,645,162,54,68,132
162,54,153,639,132,69
153,639,153,60,69,131
153,60,144,633,131,70
144,633,171,48,70,133
171,48,153,639,133,69
153,639,144,66,69,130
144,66,171,651,130,67
171,651,153,60,67,131
153,60,162,645,131,68
162,645,144,66,68,130
144,66,153,639,130,69
153,639,162,54,69,132
162,54,144,633,132,70
144,633,153,60,70,131
153,60,153,639,131,69
153,639,171,48,69,133
171,48,144,633,133,70
144,633,181,43,70,134
181,43,135,626,134,71
135,626,162,54,71,132
162,54,162,645,132,68
162,645,135,73,68,129
135,73,171,651,129,67
171,651,144,66,67,130
144,66,181,656,130,66
181,656,393,2,66,154
393,2,528,651,154,33
528,651,555,66,33,170
555,66,537,645,170,32
537,645,546,60,32,169
546,60,546,639,169,31
546,639,537,54,31,168
537,54,371,699,168,48
371,699,210,28,48,137
210,28,295,695,137,55
295,695,241,17,55,140
241,17,284,693,140,56
284,693,252,13,56,141
252,13,273,691,141,57
273,691,262,10,57,142
262,10,262,689,142,58
262,689,273,8,58,143
273,8,252,686,143,59
252,686,262,10,59,142
262,10,273,691,142,57
273,691,252,13,57,141
252,13,262,689,141,58
262,689,273,8,58,143
273,8,252,686,143,59
252,686,284,6,59,144
284,6,241,682,144,60
241,682,306,2,60,146
306,2,581,612,146,27
581,612,317,1,27,147
317,1,231,679,147,61
231,679,328,0,61,148
328,0,573,619,148,28
573,619,339,0,28,149
339,0,564,626,149,29
564,626,360,0,29,151
360,0,221,675,151,62
221,675,339,0,62,149
339,0,231,679,149,61
231,679,328,0,61,148
328,0,581,612,148,27
581,612,339,0,27,149
339,0,231,679,149,61
231,679,295,4,61,145
295,4,252,686,145,59
252,686,262,10,59,142
262,10,262,689,142,58
262,689,273,8,58,143
273,8,252,686,143,59
252,686,284,6,59,144
284,6,241,682,144,60
241,682,295,4,60,145
295,4,252,686,145,59
252,686,262,10,59,142
262,10,273,691,142,57
273,691,252,13,57,141
252,13,284,693,141,56
284,693,262,10,56,142
262,10,262,689,142,58
262,689,252,13,58,141
252,13,295,695,141,55
295,695,581,87,55,173
581,87,306,697,173,54
306,697,573,80,54,172
573,80,317,698,172,53
317,698,241,17,53,140
241,17,284,693,140,56
284,693,573,80,56,172
573,80,328,699,172,52
328,699,231,20,52,139
231,20,339,699,139,51
339,699,573,80,51,172
573,80,295,695,172,55
295,695,581,87,55,173
581,87,73,135,173,121
73,135,597,102,121,175
597,102,80,126,175,122
80,126,605,110,122,176
605,110,73,135,176,121
73,135,612,118,121,177
612,118,87,118,177,123
87,118,626,135,123,179
626,135,102,102,179,125
102,102,633,144,125,180
633,144,94,110,180,124
94,110,639,153,124,181
639,153,20,231,181,111
20,231,651,171,111,183
651,171,17,241,183,110
17,241,700,350,110,0
700,350,1,382,0,97
1,382,645,537,97,18
645,537,94,589,18,76
94,589,619,573,76,22
619,573,87,581,22,77
87,581,639,546,77,19
639,546,94,589,19,76
94,589,626,564,76,21
626,564,110,605,21,74
110,605,633,555,74,20
633,555,102,597,20,75
102,597,626,564,75,21
626,564,110,605,21,74
110,605,171,48,74,133
171,48,135,626,133,71
135,626,162,54,71,132
162,54,153,639,132,69
153,639,171,48,69,133
171,48,144,633,133,70
144,633,181,43,70,134
181,43,153,639,134,69
153,639,144,66,69,130
144,66,191,661,130,65
191,661,589,94,65,174
589,94,252,686,174,59
252,686,284,6,59,144
284,6,262,689,144,58
262,689,273,8,58,143
273,8,581,612,143,27
581,612,295,4,27,145
295,4,573,619,145,28
573,619,349,0,28,150
349,0,564,626,150,29
564,626,371,0,29,152
371,0,546,639,152,31
546,639,546,60,31,169
546,60,537,645,169,32
537,645,555,66,32,170
555,66,528,651,170,33
528,651,546,60,33,169
546,60,546,639,169,31
546,639,555,66,31,170
555,66,537,645,170,32
537,645,393,2,32,154
393,2,200,666,154,64
200,666,144,66,64,130
144,66,171,651,130,67
171,651,126,80,67,128
126,80,633,144,128,180
633,144,110,94,180,126
110,94,626,135,126,179
626,135,94,110,179,124
94,110,639,153,124,181
639,153,17,241,181,110
17,241,699,360,110,1
699,360,13,252,1,109
13,252,699,339,109,199
699,339,10,262,199,108
10,262,699,328,108,198
699,328,8,273,198,107
8,273,698,317,107,197
698,317,6,284,197,106
6,284,699,328,106,198
699,328,10,437,198,92
10,437,698,317,92,197
698,317,13,447,197,91
13,447,697,306,91,196
697,306,2,306,196,104
2,306,693,284,104,194
693,284,1,317,194,103
1,317,695,404,103,5
695,404,24,221,5,112
24,221,645,162,112,182
645,162,20,231,182,111
20,231,656,181,111,184
656,181,24,221,184,112
24,221,651,171,112,183
651,171,17,241,183,110
17,241,699,371,110,2
699,371,20,231,2,111
20,231,700,350,111,0
700,350,13,252,0,109
13,252,651,171,109,183
651,171,10,262,183,108
10,262,699,339,108,199
699,339,17,241,199,110
17,241,645,162,110,182
645,162,94,110,182,124
94,110,612,118,124,177
612,118,80,126,177,122
80,126,619,126,122,178
619,126,102,102,178,125
102,102,626,135,125,179
626,135,110,94,179,126
110,94,597,597,126,25
597,597,66,555,25,80
66,555,612,118,80,177
612,118,66,144,177,120
66,144,589,94,120,174
589,94,262,689,174,58
262,689,284,6,58,144
284,6,241,682,144,60
241,682,589,94,60,174
589,94,284,693,174,56
284,693,252,13,56,141
252,13,262,689,141,58
262,689,581,87,58,173
581,87,273,691,173,57
273,691,262,10,57,142
262,10,284,693,142,56
284,693,581,87,56,173
581,87,317,698,173,53
317,698,573,80,53,172
573,80,349,700,172,50
349,700,546,60,50,169
546,60,537,645,169,32
537,645,528,48,32,167
528,48,382,698,167,47
382,698,210,28,47,137
210,28,393,697,137,46
393,697,518,43,46,166
518,43,404,695,166,45
404,695,508,38,45,165
508,38,415,693,165,44
415,693,499,33,44,164
499,33,426,691,164,43
426,691,508,38,43,165
508,38,656,518,165,16
656,518,33,499,16,86
33,499,661,508,86,15
661,508,38,508,15,85
38,508,671,489,85,13
671,489,48,528,13,83
48,528,675,478,83,12
675,478,54,537,12,82
54,537,605,589,82,24
605,589,80,573,24,78
80,573,633,555,78,20
633,555,94,589,20,76
94,589,619,573,76,22
619,573,66,555,22,80
66,555,597,597,80,25
597,597,73,564,25,79
73,564,589,605,79,26
589,605,102,102,26,125
102,102,639,153,125,181
639,153,87,118,181,123
87,118,605,110,123,176
605,110,60,153,176,119
60,153,612,118,119,177
612,118,54,537,177,82
54,537,671,489,82,13
671,489,43,518,13,84
43,518,675,478,84,12
675,478,60,546,12,81
60,546,612,581,81,23
612,581,73,564,23,79
73,564,589,605,79,26
589,605,94,110,26,124
94,110,633,144,124,180
633,144,508,661,180,35
508,661,426,8,35,157
426,8,499,666,157,36
499,666,437,10,36,158
437,10,489,671,158,37
489,671,447,13,37,159
447,13,478,675,159,38
478,675,468,20,38,161
468,20,458,682,161,40
458,682,478,24,40,162
478,24,437,689,162,42
437,689,499,33,42,164
499,33,546,639,164,31
546,639,555,66,31,170
555,66,528,651,170,33
528,651,404,4,33,155
404,4,200,666,155,64
200,666,415,6,64,156
415,6,508,661,156,35
508,661,546,60,35,169
546,60,518,656,169,34
518,656,619,126,34,178
