x1,y1,x2,y2,index1,index2
537,645,339,0,32,149
339,0,144,633,149,70
144,633,349,0,70,150
349,0,555,633,150,30
555,633,371,0,30,152
371,0,153,639,152,69
153,639,651,171,69,183
651,171,135,626,183,71
135,626,671,210,71,187
671,210,126,619,187,72
126,619,382,1,72,153
382,1,262,689,153,58
262,689,371,0,58,152
371,0,126,619,152,72
126,619,426,8,72,157
426,8,210,671,157,63
210,671,645,537,63,18
645,537,94,589,18,76
94,589,612,581,76,23
612,581,60,546,23,81
60,546,605,589,81,24
605,589,87,581,24,77
87,581,597,597,77,25
597,597,295,4,25,145
295,4,468,679,145,39
468,679,284,6,39,144
284,6,478,675,144,38
478,675,262,10,38,142
262,10,499,666,142,36
499,666,241,17,36,140
241,17,581,612,140,27
581,612,284,6,27,144
284,6,489,671,144,37
489,671,252,13,37,141
252,13,581,612,141,27
581,612,24,221,27,112
24,221,573,619,112,28
573,619,317,1,28,147
317,1,555,633,147,30
555,633,48,171,30,117
48,171,564,626,117,29
564,626,60,153,29,119
60,153,546,639,119,31
546,639,181,43,31,134
181,43,581,612,134,27
581,612,273,8,27,143
273,8,489,671,143,37
489,671,262,10,37,142
262,10,499,666,142,36
499,666,252,13,36,141
252,13,573,619,141,28
573,619,273,8,28,143
273,8,489,671,143,37
489,671,252,13,37,141
252,13,339,699,141,51
339,699,273,8,51,143
273,8,489,671,143,37
489,671,252,13,37,141
252,13,619,573,141,22
619,573,73,564,22,79
73,564,564,626,79,29
564,626,33,200,29,114
33,200,573,619,114,28
573,619,28,210,28,113
28,210,555,633,113,30
555,633,382,1,30,153
382,1,118,612,153,73
118,612,415,6,73,156
415,6,126,619,156,72
126,619,656,181,72,184
656,181,153,639,184,69
153,639,605,110,69,176
605,110,162,645,176,68
162,645,633,144,68,180
633,144,144,633,180,70
144,633,645,162,70,182
645,162,153,639,182,69
153,639,349,0,69,150
349,0,468,679,150,39
468,679,284,6,39,144
284,6,589,605,144,26
589,605,306,2,26,146
306,2,581,612,146,27
581,612,171,48,27,133
171,48,589,605,133,26
589,605,181,43,26,134
181,43,597,597,134,25
597,597,28,489,25,87
28,489,666,499,87,14
666,499,24,478,14,88
24,478,661,508,88,15
661,508,20,468,15,89
20,468,698,382,89,3
698,382,17,458,3,90
17,458,697,393,90,4
697,393,13,447,4,91
13,447,651,528,91,17
651,528,94,589,17,76
94,589,639,546,76,19
639,546,6,415,19,94
6,415,686,447,94,9
686,447,54,537,9,82
54,537,693,415,82,6
693,415,10,437,6,92
10,437,691,426,92,7
691,426,8,426,7,93
8,426,689,437,93,8
689,437,48,528,8,83
48,528,605,589,83,24
605,589,38,508,24,85
38,508,675,478,85,12
675,478,0,360,12,99
0,360,671,489,99,13
671,489,0,349,13,100
0,349,573,619,100,28
573,619,43,181,28,116
43,181,564,626,116,29
564,626,28,210,29,113
28,210,581,612,113,27
581,612,162,54,27,132
162,54,589,605,132,26
