x1,y1,x2,y2,index1,index2
241,17,241,682,140,60
241,682,252,13,60,141
252,13,231,679,141,61
231,679,241,17,61,140
241,17,221,675,140,62
221,675,295,4,62,145
295,4,555,633,145,30
555,633,181,43,30,134
181,43,135,626,134,71
135,626,162,54,71,132
162,54,144,633,132,70
144,633,546,60,70,169
546,60,210,671,169,63
210,671,528,48,63,167
528,48,241,682,167,60
241,682,241,17,60,140
241,17,564,626,140,29
564,626,171,48,29,133
171,48,135,626,133,71
135,626,153,60,71,131
153,60,144,633,131,70
144,633,555,66,70,170
555,66,1,382,170,97
1,382,537,54,97,168
537,54,231,679,168,61
231,679,273,8,61,143
273,8,555,633,143,30
555,633,200,33,30,136
200,33,135,626,136,71
135,626,555,66,71,170
555,66,10,437,170,92
10,437,581,87,92,173
581,87,73,564,173,79
73,564,619,573,79,22
619,573,94,589,22,76
94,589,581,87,76,173
581,87,17,458,173,90
17,458,597,597,90,25
597,597,28,489,25,87
28,489,518,43,87,166
518,43,48,528,166,83
48,528,499,33,83,164
499,33,66,555,164,80
66,555,612,581,80,23
612,581,94,589,23,76
94,589,573,80,76,172
573,80,73,564,172,79
73,564,478,24,79,162
478,24,87,581,162,77
87,581,573,80,77,172
573,80,66,555,172,80
66,555,546,639,80,31
546,639,241,17,31,140
241,17,252,686,140,59
252,686,231,20,59,139
231,20,262,689,139,58
262,689,528,48,58,167
528,48,181,656,167,66
181,656,135,73,66,129
135,73,589,605,129,26
589,605,33,200,26,114
33,200,597,102,114,175
597,102,24,221,175,112
24,221,537,645,112,32
537,645,48,171,32,117
48,171,546,639,117,31
546,639,221,24,31,138
221,24,295,695,138,55
295,695,210,28,55,137
210,28,537,645,137,32
537,645,66,144,32,120
66,144,508,661,120,35
508,661,80,126,35,122
80,126,626,135,122,179
626,135,87,118,179,123
87,118,589,605,123,26
589,605,24,478,26,88
24,478,581,87,88,173
581,87,73,564,173,79
73,564,605,589,79,24
605,589,87,581,24,77
87,581,581,87,77,173
581,87,28,489,173,87
28,489,508,38,87,165
508,38,135,626,165,71
135,626,162,54,71,132
162,54,144,633,132,70
144,633,144,66,70,130
144,66,162,645,130,68
162,645,546,60,68,169
546,60,66,144,169,120
66,144,605,110,120,176
605,110,60,153,176,119
60,153,612,118,119,177
612,118,94,110,177,124
94,110,597,597,124,25
597,597,87,581,25,77
87,581,573,80,77,172
573,80,60,546,172,81
60,546,612,581,81,23
612,581,94,589,23,76
94,589,581,87,76,173
581,87,13,447,173,91
13,447,528,48,91,167
528,48,306,697,167,54
306,697,415,6,54,156
415,6,181,656,156,66
181,656,537,54,66,168
537,54,241,682,168,60
241,682,252,13,60,141
252,13,564,626,141,29
564,626,171,48,29,133
171,48,144,633,133,70
144,633,546,60,70,169
546,60,2,393,169,96
2,393,564,73,96,171
564,73,87,581,171,77
87,581,619,573,77,22
619,573,110,605,22,74
110,605,564,73,74,171
564,73,87,581,171,77
87,581,581,87,77,173
581,87,80,126,173,122
80,126,589,605,122,26
589,605,60,153,26,119
60,153,546,639,119,31
546,639,252,13,31,141
252,13,555,633,141,30
555,633,241,17,30,140
241,17,221,675,140,62
221,675,284,6,62,144
284,6,555,633,144,30
555,633,306,2,30,146
306,2,221,675,146,62
221,675,252,13,62,141
252,13,200,666,141,64
200,666,135,73,64,129
135,73,153,639,129,69
153,639,153,60,69,131
153,60,573,619,131,28
573,619,210,28,28,137
210,28,135,626,137,71
135,626,153,60,71,131
153,60,581,612,131,27
581,612,80,573,27,78
80,573,468,20,78,161
468,20,94,589,161,76
94,589,581,87,76,173
581,87,20,468,173,89
20,468,597,597,89,25
597,597,38,508,25,85
38,508,508,38,85,165
508,38,48,528,165,83
48,528,605,589,83,24
605,589,87,581,24,77
87,581,589,94,77,174
589,94,80,126,174,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,645,162,123,182
645,162,94,110,182,124
94,110,612,581,124,23
612,581,87,581,23,77
87,581,605,110,77,176
605,110,43,181,176,116
43,181,537,645,116,32
537,645,33,200,32,114
33,200,528,651,114,33
528,651,80,126,33,122
80,126,626,135,122,179
626,135,118,87,179,127
118,87,597,597,127,25
597,597,8,273,25,107
8,273,555,633,107,30
555,633,317,1,30,147
317,1,437,689,147,42
437,689,382,1,42,153
382,1,200,666,153,64
200,666,135,73,64,129
135,73,162,645,129,68
162,645,144,66,68,130
144,66,581,612,130,27
581,612,4,404,27,95
4,404,573,619,95,28
573,619,221,24,28,138
221,24,537,645,138,32
537,645,66,555,32,80
66,555,645,162,80,182
645,162,87,118,182,123
87,118,633,144,123,180
633,144,126,80,180,128
126,80,581,612,128,27
581,612,2,306,27,104
2,306,639,546,104,19
639,546,87,581,19,77
87,581,612,118,77,177
612,118,94,110,177,124
94,110,605,589,124,24
605,589,60,546,24,81
60,546,508,38,81,165
508,38,382,698,165,47
382,698,382,1,47,153
382,1,555,633,153,30
555,633,328,0,30,148
328,0,210,671,148,63
210,671,537,54,63,168
537,54,262,689,168,58
262,689,231,20,58,139
231,20,537,645,139,32
537,645,20,231,32,111
20,231,605,589,111,24
605,589,118,87,24,127
118,87,478,675,127,38
478,675,126,80,38,128
126,80,162,645,128,68
162,645,537,54,68,168
537,54,273,691,168,57
273,691,221,24,57,138
221,24,306,697,138,54
306,697,426,8,54,157
426,8,181,656,157,66
181,656,546,60,66,169
546,60,13,447,169,91
13,447,597,102,91,175
597,102,20,231,175,111
20,231,597,597,111,25
597,597,87,581,25,77
87,581,645,537,77,18
645,537,94,589,18,76
94,589,589,94,76,174
589,94,24,478,174,88
24,478,518,43,88,166
518,43,126,619,166,72
126,619,564,73,72,171
564,73,1,317,171,103
1,317,573,619,103,28
573,619,10,262,28,108
10,262,597,597,108,25
597,597,17,241,25,110
17,241,537,645,110,32
537,645,478,24,32,162
478,24,87,581,162,77
87,581,458,17,77,160
458,17,153,639,160,69
153,639,126,80,69,128
126,80,597,597,128,25
597,597,28,210,25,113
28,210,597,102,113,175
597,102,17,241,175,110
17,241,589,605,110,26
589,605,73,564,26,79
73,564,639,153,79,181
